Device name,OS,OS version,Compliance state,Last check-in,Ownership,Management name,Primary user
BU3-PWCCRM007,Windows,10.0.22631,Compliant,2026-06-23T15:05:39.337Z,Corporate,BU3-PWCCRM007_Windows,bu3\user772
BU2-DWCIIS024,Windows,10.0.19045,Compliant,2026-06-23T08:28:32.566Z,Corporate,BU2-DWCIIS024_Windows,bu2\user760
BU5-SWCPRT033,Windows,10.0.19045,Compliant,2026-06-24T14:44:07.036Z,Corporate,BU5-SWCPRT033_Windows,bu5\user638
BU4-PWCADC012,Windows,10.0.19045,Compliant,2026-06-23T11:39:20.617Z,Corporate,BU4-PWCADC012_Windows,bu4\user842
BU2-SWCIIS031,Windows,10.0.19045,Compliant,2026-06-24T00:51:39.256Z,Corporate,BU2-SWCIIS031_Windows,bu2\user705
BU1-SWCADC055,Windows,10.0.22631,Compliant,2026-06-23T08:03:58.373Z,Corporate,BU1-SWCADC055_Windows,bu1\user211
BU2-PWCADC024,Windows,10.0.19045,Compliant,2026-06-24T12:38:33.436Z,Corporate,BU2-PWCADC024_Windows,bu2\user122
BU5-SLCBAK007,Linux,10.0.19045,Compliant,2026-06-25T06:00:59.557Z,Corporate,BU5-SLCBAK007_Linux,bu5\user413
BU4-PWCEXC014,Windows,10.0.19045,Compliant,2026-06-24T05:58:01.125Z,Corporate,BU4-PWCEXC014_Windows,bu4\user649
BU2-PLCAPI011,Linux,10.0.19045,Compliant,2026-06-23T16:51:29.442Z,Corporate,BU2-PLCAPI011_Linux,bu2\user492
BU4-PWCAPP106,Windows,10.0.22631,Compliant,2026-06-23T15:48:29.046Z,Corporate,BU4-PWCAPP106_Windows,bu4\user250
BU1-SWCCRM007,Windows,10.0.19045,Compliant,2026-03-06T16:30:42.603Z,Corporate,BU1-SWCCRM007_Windows,bu1\user452
BU2-PWCADC079,Windows,10.0.19045,Compliant,2026-06-24T22:30:14.259Z,Corporate,BU2-PWCADC079_Windows,bu2\user298
BU3-SWCADC016,Windows,10.0.19045,Compliant,2026-06-25T02:56:55.846Z,Corporate,BU3-SWCADC016_Windows,bu3\user598
BU5-PLCJMP015,Linux,10.0.19045,Compliant,2026-06-23T22:20:33.563Z,Corporate,BU5-PLCJMP015_Linux,bu5\user635
BU1-SLCAPP003,Linux,10.0.19045,Compliant,2026-06-23T20:19:10.904Z,Corporate,BU1-SLCAPP003_Linux,bu1\user851
BU1-SWCERP042,Windows,10.0.19045,Compliant,2026-06-25T01:07:38.099Z,Corporate,BU1-SWCERP042_Windows,bu1\user541
BU5-SWCEXC016,Windows,10.0.19045,Compliant,2026-06-24T20:24:17.031Z,Corporate,BU5-SWCEXC016_Windows,bu5\user691
BU3-PWCDNS052,Windows,10.0.19045,Compliant,2026-06-24T08:07:08.381Z,Corporate,BU3-PWCDNS052_Windows,bu3\user255
BU3-PWCAPP012,Windows,10.0.22631,Compliant,2026-06-25T01:48:24.768Z,Corporate,BU3-PWCAPP012_Windows,bu3\user891
BU4-PWCRDP019,Windows,10.0.19045,Compliant,2026-06-23T11:05:28.428Z,Corporate,BU4-PWCRDP019_Windows,bu4\user817
BU2-SWCADC043,Windows,10.0.19045,Compliant,2026-06-24T03:09:07.859Z,Corporate,BU2-SWCADC043_Windows,bu2\user226
BU2-DWCSAP016,Windows,10.0.19045,Compliant,2026-05-23T05:15:06.178Z,Corporate,BU2-DWCSAP016_Windows,bu2\user314
BU4-PWCPRT086,Windows,10.0.19045,Compliant,2026-03-10T07:00:55.413Z,Corporate,BU4-PWCPRT086_Windows,bu4\user195
BU3-DWCPRT017,Windows,10.0.19045,Compliant,2026-06-23T09:25:37.680Z,Corporate,BU3-DWCPRT017_Windows,bu3\user209
BU2-PWCSAP017,Windows,10.0.19045,Compliant,2026-06-24T03:48:40.870Z,Corporate,BU2-PWCSAP017_Windows,bu2\user673
BU3-PWCPRT052,Windows,10.0.22631,Compliant,2026-06-24T17:20:56.883Z,Corporate,BU3-PWCPRT052_Windows,bu3\user143
BU1-PWCRDP003,Windows,10.0.22631,Compliant,2026-06-24T12:27:40.457Z,Corporate,BU1-PWCRDP003_Windows,bu1\user15
BU1-PLCPRX039,Linux,10.0.19045,Compliant,2026-06-24T06:33:59.835Z,Corporate,BU1-PLCPRX039_Linux,bu1\user128
BU2-DWCDNS018,Windows,10.0.22631,Compliant,2026-06-23T10:15:17.857Z,Corporate,BU2-DWCDNS018_Windows,bu2\user39
BU3-SLCLOG003,Linux,10.0.19045,Compliant,2026-06-23T13:36:17.837Z,Corporate,BU3-SLCLOG003_Linux,bu3\user614
BU3-SLCMON001,Linux,10.0.19045,Compliant,2026-06-25T05:12:12.819Z,Corporate,BU3-SLCMON001_Linux,bu3\user863
BU2-PWCAPP104,Windows,10.0.22631,Compliant,2026-06-23T07:09:31.005Z,Corporate,BU2-PWCAPP104_Windows,bu2\user393
BU2-SWCAPP026,Windows,10.0.22631,Compliant,2026-06-23T14:11:10.424Z,Corporate,BU2-SWCAPP026_Windows,bu2\user518
BU5-PWCEXC027,Windows,10.0.19045,Compliant,2026-06-23T10:29:21.977Z,Corporate,BU5-PWCEXC027_Windows,bu5\user112
BU5-PWCWEB022,Windows,10.0.19045,Noncompliant,2026-06-24T17:49:45.484Z,Corporate,BU5-PWCWEB022_Windows,bu5\user375
BU1-PWCSAP017,Windows,10.0.19045,Compliant,2026-06-23T17:06:22.960Z,Corporate,BU1-PWCSAP017_Windows,bu1\user434
BU4-PWCWEB007,Windows,10.0.19045,Compliant,2026-06-24T03:20:39.880Z,Corporate,BU4-PWCWEB007_Windows,bu4\user219
BU1-PWCSQL039,Windows,10.0.19045,Compliant,2026-06-25T04:07:42.940Z,Corporate,BU1-PWCSQL039_Windows,bu1\user639
BU5-SWCDNS011,Windows,10.0.19045,Compliant,2026-06-24T21:30:00.100Z,Corporate,BU5-SWCDNS011_Windows,bu5\user419
BU3-PWCFIL013,Windows,10.0.19045,Noncompliant,2026-06-24T06:31:09.025Z,Corporate,BU3-PWCFIL013_Windows,bu3\user608
BU2-SWCIIS016,Windows,10.0.19045,Compliant,2026-05-21T13:20:27.460Z,Corporate,BU2-SWCIIS016_Windows,bu2\user762
BU3-SLCAPI011,Linux,10.0.19045,Compliant,2026-06-24T18:39:31.732Z,Corporate,BU3-SLCAPI011_Linux,bu3\user73
BU3-PWCRDP029,Windows,10.0.22631,Compliant,2026-06-24T21:41:32.362Z,Corporate,BU3-PWCRDP029_Windows,bu3\user583
BU2-PWCAPP064,Windows,10.0.22631,Compliant,2026-06-23T07:21:54.806Z,Corporate,BU2-PWCAPP064_Windows,bu2\user409
BU2-PWCIDM090,Windows,10.0.22631,Compliant,2026-06-24T14:07:24.552Z,Corporate,BU2-PWCIDM090_Windows,bu2\user291
BU1-PWCPRT003,Windows,10.0.19045,Compliant,2026-06-24T17:47:34.451Z,Corporate,BU1-PWCPRT003_Windows,bu1\user282
BU3-PLCSMT008,Linux,10.0.19045,Compliant,2026-06-23T20:45:02.201Z,Corporate,BU3-PLCSMT008_Linux,bu3\user579
BU3-PWCSAP008,Windows,10.0.19045,Compliant,2026-06-24T21:09:05.949Z,Corporate,BU3-PWCSAP008_Windows,bu3\user514
BU4-PLCBAK051,Linux,10.0.19045,Compliant,2026-06-23T18:55:32.899Z,Corporate,BU4-PLCBAK051_Linux,bu4\user647
BU5-PWCWEB014,Windows,10.0.19045,Compliant,2026-06-24T15:11:36.298Z,Corporate,BU5-PWCWEB014_Windows,bu5\user876
BU4-PWCCRM083,Windows,10.0.22631,Compliant,2026-06-23T22:45:54.970Z,Corporate,BU4-PWCCRM083_Windows,bu4\user353
BU2-PWCIDM017,Windows,10.0.22631,Compliant,2026-06-23T15:16:36.890Z,Corporate,BU2-PWCIDM017_Windows,bu2\user294
BU1-PWCDNS023,Windows,10.0.22631,Compliant,2026-06-23T21:03:25.498Z,Corporate,BU1-PWCDNS023_Windows,bu1\user645
BU3-SWCADC005,Windows,10.0.19045,Compliant,2026-06-24T05:58:14.226Z,Corporate,BU3-SWCADC005_Windows,bu3\user348
BU5-DWCIDM004,Windows,10.0.22631,Compliant,2026-06-23T08:25:02.412Z,Corporate,BU5-DWCIDM004_Windows,bu5\user45
BU3-PWCERP006,Windows,10.0.19045,Compliant,2026-06-24T14:04:43.280Z,Corporate,BU3-PWCERP006_Windows,bu3\user634
BU1-PWCFIL001,Windows,10.0.19045,Compliant,2026-06-23T20:41:20.640Z,Corporate,BU1-PWCFIL001_Windows,bu1\user618
BU1-PLCORA033,Linux,10.0.19045,Compliant,2026-06-24T01:15:21.915Z,Corporate,BU1-PLCORA033_Linux,bu1\user697
BU2-PWCRDP070,Windows,10.0.22631,Compliant,2026-06-24T04:18:13.981Z,Corporate,BU2-PWCRDP070_Windows,bu2\user30
BU3-DWCPRT008,Windows,10.0.19045,Compliant,2026-06-24T19:17:34.858Z,Corporate,BU3-DWCPRT008_Windows,bu3\user728
BU3-SWCSHP006,Windows,10.0.19045,Compliant,2026-06-23T19:16:39.471Z,Corporate,BU3-SWCSHP006_Windows,bu3\user364
BU4-PWCFIL036,Windows,10.0.22631,Compliant,2026-06-25T06:46:00.190Z,Corporate,BU4-PWCFIL036_Windows,bu4\user554
BU1-DWCFIL042,Windows,10.0.19045,Compliant,2026-06-25T06:14:22.479Z,Corporate,BU1-DWCFIL042_Windows,bu1\user68
BU4-SWCIDM046,Windows,10.0.19045,Compliant,2026-06-23T11:44:11.733Z,Corporate,BU4-SWCIDM046_Windows,bu4\user709
BU3-SWCSQL021,Windows,10.0.19045,Noncompliant,2026-06-24T15:57:19.759Z,Corporate,BU3-SWCSQL021_Windows,bu3\user182
BU1-PWCRDP059,Windows,10.0.22631,Compliant,2026-06-25T00:52:38.897Z,Corporate,BU1-PWCRDP059_Windows,bu1\user705
BU2-SWCWEB018,Windows,10.0.19045,Compliant,2026-06-23T19:20:03.818Z,Corporate,BU2-SWCWEB018_Windows,bu2\user596
BU2-PWCDNS021,Windows,10.0.19045,Noncompliant,2026-06-23T15:28:12.964Z,Corporate,BU2-PWCDNS021_Windows,bu2\user302
BU1-PLCLOG034,Linux,10.0.19045,Compliant,2026-06-24T05:39:17.163Z,Corporate,BU1-PLCLOG034_Linux,bu1\user406
BU4-DLCPGS006,Linux,10.0.19045,Compliant,2026-06-24T15:05:04.196Z,Corporate,BU4-DLCPGS006_Linux,bu4\user369
BU3-PWCWEB033,Windows,10.0.19045,Compliant,2026-06-25T05:43:17.187Z,Corporate,BU3-PWCWEB033_Windows,bu3\user788
BU2-PWCSAP059,Windows,10.0.19045,Noncompliant,2026-06-24T19:42:08.769Z,Corporate,BU2-PWCSAP059_Windows,bu2\user199
BU3-PWCPRT019,Windows,10.0.22631,Compliant,2026-03-25T11:21:07.622Z,Corporate,BU3-PWCPRT019_Windows,bu3\user13
BU2-SWCSAP005,Windows,10.0.22631,Compliant,2026-06-23T19:06:38.563Z,Corporate,BU2-SWCSAP005_Windows,bu2\user899
BU1-SWCFIL002,Windows,10.0.19045,Compliant,2026-06-24T08:06:16.163Z,Corporate,BU1-SWCFIL002_Windows,bu1\user611
BU1-PWCDNS093,Windows,10.0.22631,Compliant,2026-06-24T05:39:08.552Z,Corporate,BU1-PWCDNS093_Windows,bu1\user40
BU1-PWCEXC003,Windows,10.0.19045,Compliant,2026-06-23T15:21:45.181Z,Corporate,BU1-PWCEXC003_Windows,bu1\user281
BU2-DWCSHP005,Windows,10.0.19045,Compliant,2026-06-24T11:34:45.014Z,Corporate,BU2-DWCSHP005_Windows,bu2\user886
BU4-DWCSHP034,Windows,10.0.19045,Compliant,2026-06-24T20:45:59.386Z,Corporate,BU4-DWCSHP034_Windows,bu4\user337
BU3-SLCNGX002,Linux,10.0.19045,Compliant,2026-06-25T00:45:41.636Z,Corporate,BU3-SLCNGX002_Linux,bu3\user219
BU1-PWCDNS072,Windows,10.0.22631,Compliant,2026-06-25T02:23:25.472Z,Corporate,BU1-PWCDNS072_Windows,bu1\user866
BU1-PWCAPP123,Windows,10.0.22631,Compliant,2026-06-23T14:04:43.157Z,Corporate,BU1-PWCAPP123_Windows,bu1\user450
BU2-SWCFIL019,Windows,10.0.19045,Compliant,2026-06-24T19:29:25.872Z,Corporate,BU2-SWCFIL019_Windows,bu2\user337
BU5-PWCAPP078,Windows,10.0.19045,Compliant,2026-06-23T12:10:17.100Z,Corporate,BU5-PWCAPP078_Windows,bu5\user302
BU4-SWCIIS068,Windows,10.0.19045,Noncompliant,2026-06-24T20:19:07.764Z,Corporate,BU4-SWCIIS068_Windows,bu4\user638
BU1-PLCPGS059,Linux,10.0.19045,Compliant,2026-06-24T06:23:34.888Z,Corporate,BU1-PLCPGS059_Linux,bu1\user660
BU5-PWCERP037,Windows,10.0.19045,Compliant,2026-06-25T04:10:04.109Z,Corporate,BU5-PWCERP037_Windows,bu5\user517
BU1-PWCRDP129,Windows,10.0.22631,Compliant,2026-06-24T15:47:31.039Z,Corporate,BU1-PWCRDP129_Windows,bu1\user696
BU3-DWCERP001,Windows,10.0.19045,Compliant,2026-03-24T00:19:11.304Z,Corporate,BU3-DWCERP001_Windows,bu3\user67
BU3-PWCIDM042,Windows,10.0.19045,Compliant,2026-06-25T04:01:07.475Z,Corporate,BU3-PWCIDM042_Windows,bu3\user508
BU5-PWCSQL081,Windows,10.0.19045,Compliant,2026-06-24T12:02:18.288Z,Corporate,BU5-PWCSQL081_Windows,bu5\user27
BU1-SWCERP034,Windows,10.0.19045,Noncompliant,2026-06-24T06:59:00.871Z,Corporate,BU1-SWCERP034_Windows,bu1\user50
BU5-PWCAPP069,Windows,10.0.19045,Compliant,2026-06-24T12:33:48.352Z,Corporate,BU5-PWCAPP069_Windows,bu5\user211
BU5-SWCSAP003,Windows,10.0.19045,Compliant,2026-06-23T15:22:18.711Z,Corporate,BU5-SWCSAP003_Windows,bu5\user892
BU1-PLCNGX002,Linux,10.0.19045,Noncompliant,2026-06-24T16:40:55.950Z,Corporate,BU1-PLCNGX002_Linux,bu1\user627
BU1-PWCRDP084,Windows,10.0.22631,Compliant,2026-06-23T12:19:03.599Z,Corporate,BU1-PWCRDP084_Windows,bu1\user493
BU1-PLCORA038,Linux,10.0.19045,Compliant,2026-06-23T22:41:54.406Z,Corporate,BU1-PLCORA038_Linux,bu1\user572
BU5-PWCAPP053,Windows,10.0.19045,Compliant,2026-06-24T19:46:54.297Z,Corporate,BU5-PWCAPP053_Windows,bu5\user731
BU1-SWCPRT016,Windows,10.0.22631,Compliant,2026-06-23T16:03:44.401Z,Corporate,BU1-SWCPRT016_Windows,bu1\user889
BU4-SWCRDP006,Windows,10.0.19045,Compliant,2026-06-24T03:52:11.108Z,Corporate,BU4-SWCRDP006_Windows,bu4\user823
BU4-PWCIIS054,Windows,10.0.19045,Compliant,2026-06-24T07:21:50.111Z,Corporate,BU4-PWCIIS054_Windows,bu4\user169
BU2-PWCSQL035,Windows,10.0.19045,Compliant,2026-06-24T10:55:39.169Z,Corporate,BU2-PWCSQL035_Windows,bu2\user802
BU2-PWCRDP071,Windows,10.0.22631,Compliant,2026-06-23T16:10:24.852Z,Corporate,BU2-PWCRDP071_Windows,bu2\user849
BU2-PWCIIS007,Windows,10.0.19045,Compliant,2026-06-24T03:09:26.838Z,Corporate,BU2-PWCIIS007_Windows,bu2\user439
BU4-PWCSQL092,Windows,10.0.19045,Compliant,2026-06-24T22:11:29.040Z,Corporate,BU4-PWCSQL092_Windows,bu4\user509
BU1-SLCELK034,Linux,10.0.19045,Compliant,2026-06-24T23:10:12.726Z,Corporate,BU1-SLCELK034_Linux,bu1\user736
BU1-PWCFIL158,Windows,10.0.19045,Compliant,2026-06-24T01:33:41.530Z,Corporate,BU1-PWCFIL158_Windows,bu1\user252
BU3-PWCIDM028,Windows,10.0.19045,Compliant,2026-06-23T09:22:10.312Z,Corporate,BU3-PWCIDM028_Windows,bu3\user747
BU2-SWCERP011,Windows,10.0.19045,Compliant,2026-06-24T20:08:14.506Z,Corporate,BU2-SWCERP011_Windows,bu2\user793
BU3-DWCFIL003,Windows,10.0.22631,Compliant,2026-06-25T05:54:54.640Z,Corporate,BU3-DWCFIL003_Windows,bu3\user673
BU5-SWCIDM025,Windows,10.0.19045,Compliant,2026-06-25T00:51:41.713Z,Corporate,BU5-SWCIDM025_Windows,bu5\user29
BU5-DWCEXC008,Windows,10.0.19045,Compliant,2026-06-25T00:20:20.950Z,Corporate,BU5-DWCEXC008_Windows,bu5\user300
BU1-PWCSQL086,Windows,10.0.19045,Compliant,2026-06-23T13:54:27.256Z,Corporate,BU1-PWCSQL086_Windows,bu1\user67
BU3-PWCRDP051,Windows,10.0.22631,Compliant,2026-06-23T13:14:41.871Z,Corporate,BU3-PWCRDP051_Windows,bu3\user457
BU1-PWCERP094,Windows,10.0.19045,Compliant,2026-03-24T17:58:07.780Z,Corporate,BU1-PWCERP094_Windows,bu1\user110
BU4-PWCEXC081,Windows,10.0.19045,Compliant,2026-06-23T18:21:42.853Z,Corporate,BU4-PWCEXC081_Windows,bu4\user510
BU2-SLCWEB013,Linux,10.0.19045,Compliant,2026-06-24T00:17:44.884Z,Corporate,BU2-SLCWEB013_Linux,bu2\user880
BU2-PWCAPP047,Windows,10.0.22631,Compliant,2026-06-24T02:18:16.394Z,Corporate,BU2-PWCAPP047_Windows,bu2\user514
BU1-PWCDNS005,Windows,10.0.22631,Noncompliant,2026-06-24T20:06:15.998Z,Corporate,BU1-PWCDNS005_Windows,bu1\user740
BU1-SWCERP010,Windows,10.0.19045,Compliant,2026-06-24T19:49:58.105Z,Corporate,BU1-SWCERP010_Windows,bu1\user621
BU5-PWCADC029,Windows,10.0.22631,Compliant,2026-06-23T12:19:34.498Z,Corporate,BU5-PWCADC029_Windows,bu5\user615
BU4-SWCSHP043,Windows,10.0.19045,Compliant,2026-06-24T06:21:11.480Z,Corporate,BU4-SWCSHP043_Windows,bu4\user767
BU1-PWCEXC080,Windows,10.0.19045,Compliant,2026-06-23T10:39:03.993Z,Corporate,BU1-PWCEXC080_Windows,bu1\user86
BU1-PWCERP041,Windows,10.0.19045,Compliant,2026-05-09T20:09:56.929Z,Corporate,BU1-PWCERP041_Windows,bu1\user547
BU3-SWCIDM013,Windows,10.0.22631,Compliant,2026-06-23T11:55:36.848Z,Corporate,BU3-SWCIDM013_Windows,bu3\user132
BU3-PWCIIS004,Windows,10.0.19045,Compliant,2026-06-23T12:27:07.252Z,Corporate,BU3-PWCIIS004_Windows,bu3\user282
BU3-DWCWEB002,Windows,10.0.19045,Compliant,2026-06-24T08:52:44.282Z,Corporate,BU3-DWCWEB002_Windows,bu3\user83
BU4-PWCPRT080,Windows,10.0.19045,Compliant,2026-06-24T19:54:36.773Z,Corporate,BU4-PWCPRT080_Windows,bu4\user169
BU2-PLCAPI025,Linux,10.0.19045,Compliant,2026-06-24T11:55:14.353Z,Corporate,BU2-PLCAPI025_Linux,bu2\user875
BU3-SWCFIL014,Windows,10.0.19045,Compliant,2026-06-24T23:52:37.922Z,Corporate,BU3-SWCFIL014_Windows,bu3\user780
BU2-PWCWEB111,Windows,10.0.19045,Compliant,2026-06-25T01:23:19.430Z,Corporate,BU2-PWCWEB111_Windows,bu2\user616
BU1-SWCDNS033,Windows,10.0.19045,Compliant,2026-06-24T00:35:46.974Z,Corporate,BU1-SWCDNS033_Windows,bu1\user21
BU3-PLCAPI016,Linux,10.0.19045,Compliant,2026-06-23T16:54:26.886Z,Corporate,BU3-PLCAPI016_Linux,bu3\user134
BU1-PWCWEB097,Windows,10.0.22631,Compliant,2026-06-23T17:53:26.866Z,Corporate,BU1-PWCWEB097_Windows,bu1\user837
BU3-PLCSMT007,Linux,10.0.19045,Compliant,2026-06-24T06:48:46.722Z,Corporate,BU3-PLCSMT007_Linux,bu3\user848
BU4-PWCFIL083,Windows,10.0.22631,Compliant,2026-06-24T18:01:13.957Z,Corporate,BU4-PWCFIL083_Windows,bu4\user693
BU1-SWCERP033,Windows,10.0.19045,Compliant,2026-06-24T01:50:52.936Z,Corporate,BU1-SWCERP033_Windows,bu1\user270
BU5-DWCEXC001,Windows,10.0.19045,Compliant,2026-06-25T02:26:50.034Z,Corporate,BU5-DWCEXC001_Windows,bu5\user857
BU3-PLCORA021,Linux,10.0.19045,Compliant,2026-06-23T16:25:26.672Z,Corporate,BU3-PLCORA021_Linux,bu3\user712
BU2-PWCRDP090,Windows,10.0.22631,Compliant,2026-06-24T15:51:11.741Z,Corporate,BU2-PWCRDP090_Windows,bu2\user342
BU3-PLCWEB005,Linux,10.0.19045,Compliant,2026-06-24T18:27:04.285Z,Corporate,BU3-PLCWEB005_Linux,bu3\user255
BU1-SWCCRM014,Windows,10.0.19045,Compliant,2026-06-24T07:14:22.281Z,Corporate,BU1-SWCCRM014_Windows,bu1\user253
BU3-PWCIDM021,Windows,10.0.19045,Compliant,2026-06-24T11:58:02.321Z,Corporate,BU3-PWCIDM021_Windows,bu3\user215
BU4-PWCIIS121,Windows,10.0.19045,Compliant,2026-06-24T07:33:29.892Z,Corporate,BU4-PWCIIS121_Windows,bu4\user892
BU2-SWCADC039,Windows,10.0.19045,Compliant,2026-06-24T19:45:57.381Z,Corporate,BU2-SWCADC039_Windows,bu2\user396
BU3-PWCADC021,Windows,10.0.19045,Compliant,2026-06-23T14:22:22.438Z,Corporate,BU3-PWCADC021_Windows,bu3\user426
BU5-PWCIDM071,Windows,10.0.19045,Compliant,2026-06-24T05:50:06.743Z,Corporate,BU5-PWCIDM071_Windows,bu5\user740
BU1-PWCWEB149,Windows,10.0.22631,Compliant,2026-06-24T19:17:34.859Z,Corporate,BU1-PWCWEB149_Windows,bu1\user728
BU5-PWCDNS060,Windows,10.0.19045,Compliant,2026-06-23T19:16:39.472Z,Corporate,BU5-PWCDNS060_Windows,bu5\user364
BU1-PLCNGX027,Linux,10.0.19045,Compliant,2026-06-25T06:46:00.191Z,Corporate,BU1-PLCNGX027_Linux,bu1\user554
BU5-DWCIDM005,Windows,10.0.22631,Compliant,2026-06-25T06:14:22.480Z,Personal,BU5-DWCIDM005_Windows,bu5\user667
BU2-PLCELK027,Linux,10.0.19045,Compliant,2026-06-24T09:54:45.789Z,Corporate,BU2-PLCELK027_Linux,bu2\user750
BU5-PWCDNS077,Windows,10.0.19045,Compliant,2026-06-23T11:01:05.695Z,Corporate,BU5-PWCDNS077_Windows,bu5\user46
BU2-PWCERP076,Windows,10.0.19045,Compliant,2026-06-23T16:33:42.056Z,Corporate,BU2-PWCERP076_Windows,bu2\user190
BU1-DWCAPP001,Windows,10.0.19045,Compliant,2026-06-23T12:31:31.887Z,Corporate,BU1-DWCAPP001_Windows,bu1\user675
BU3-PWCIDM011,Windows,10.0.19045,Compliant,2026-06-24T23:08:20.830Z,Corporate,BU3-PWCIDM011_Windows,bu3\user399
BU3-PWCSHP042,Windows,10.0.19045,Noncompliant,2026-06-25T06:46:22.959Z,Corporate,BU3-PWCSHP042_Windows,bu3\user708
BU1-PWCCRM069,Windows,10.0.19045,Compliant,2026-02-26T18:57:51.092Z,Corporate,BU1-PWCCRM069_Windows,bu1\user481
BU3-PWCFIL026,Windows,10.0.19045,Compliant,2026-06-24T14:12:49.858Z,Corporate,BU3-PWCFIL026_Windows,bu3\user393
BU5-SWCDNS018,Windows,10.0.19045,Compliant,2026-06-24T05:39:05.416Z,Corporate,BU5-SWCDNS018_Windows,bu5\user379
BU1-DWCAPP012,Windows,10.0.19045,Compliant,2026-06-23T20:14:19.960Z,Corporate,BU1-DWCAPP012_Windows,bu1\user730
BU1-SWCSHP004,Windows,10.0.19045,Noncompliant,2026-06-24T09:59:57.107Z,Corporate,BU1-SWCSHP004_Windows,bu1\user666
BU2-SWCIDM026,Windows,10.0.19045,Compliant,2026-06-23T19:32:55.841Z,Corporate,BU2-SWCIDM026_Windows,bu2\user164
BU3-DLCPGS004,Linux,10.0.19045,Compliant,2026-06-24T00:52:16.299Z,Corporate,BU3-DLCPGS004_Linux,bu3\user280
BU1-PWCDNS003,Windows,10.0.22631,Noncompliant,2026-06-23T23:57:22.729Z,Corporate,BU1-PWCDNS003_Windows,bu1\user164
BU2-PWCSQL057,Windows,10.0.19045,Compliant,2026-06-23T15:36:56.126Z,Corporate,BU2-PWCSQL057_Windows,bu2\user510
