Hostname,IP address history,OS version,Sensor version,Manufacturer,Last seen
BU2-SWCADC043,10.20.217.179,Windows Server 2019,7.30.20313.0,"VMware, Inc.",2026-06-25T23:20:11Z
BU2-DWCSAP016,10.20.175.84,Windows Server 2025,7.39.19942.0,Dell Inc.,2026-06-25T10:06:04Z
BU4-PWCPRT086,10.40.25.54,Windows Server 2025,7.32.20909.0,"VMware, Inc.",2026-06-26T02:10:47Z
BU3-DWCPRT017,10.30.18.80,Windows Server 2019,7.35.20026.0,Dell Inc.,2026-06-25T12:13:44Z
BU1-SWCEXC017,10.10.233.15,Windows Server 2022,7.31.20492.0,"VMware, Inc.",2026-06-25T23:55:03Z
BU2-PWCSAP017.BU2.LOCAL,10.20.72.87,Windows Server 2016,7.37.19929.0,"VMware, Inc.",2026-06-25T03:25:13Z
BU3-PWCPRT052.BU3.LOCAL,10.30.13.159,Windows Server 2022,7.30.19436.0,Dell Inc.,2026-06-25T17:46:14Z
BU1-PWCRDP003,10.10.133.232,Windows 11,7.34.20825.0,Dell Inc.,2026-06-25T06:50:13Z
BU1-PLCPRX039,10.10.15.236,RHEL 8.10,7.40.19419.0,"VMware, Inc.",2026-06-25T15:23:56Z
BU2-DWCDNS018,10.20.19.173,Windows Server 2022,7.35.20203.0,Microsoft Corporation,2026-06-25T23:06:20Z
BU3-SLCLOG003,10.30.114.253,RHEL 8.10,7.32.20831.0,"VMware, Inc.",2026-06-25T07:19:19Z
BU3-SLCMON001,10.30.57.47,RHEL 8.10,7.38.20657.0,Dell Inc.,2026-06-25T16:20:59Z
BU2-PWCAPP104,10.20.71.9,Windows Server 2022,7.30.20373.0,"VMware, Inc.",2026-06-26T02:41:17Z
BU2-SWCAPP026.BU2.LOCAL,10.20.144.207,Windows 11,7.30.20074.0,"VMware, Inc.",2026-06-25T03:58:14Z
BU5-PWCEXC027,"10.50.69.54, 10.12.131.135",Windows Server 2016,7.36.19705.0,Dell Inc.,2026-06-25T03:34:31Z
BU5-PWCWEB022,10.50.93.56,Windows Server 2019,7.38.19446.0,"VMware, Inc.",2026-06-25T18:18:04Z
BU1-PWCSAP017,10.10.94.206,Windows Server 2016,7.32.20919.0,Microsoft Corporation,2026-06-25T22:29:35Z
BU4-PWCWEB007,10.40.41.250,Windows Server 2025,7.36.19295.0,Dell Inc.,2026-06-25T19:17:36Z
BU1-PWCPRT020.BU1.LOCAL,10.10.46.31,Windows Server 2019,7.30.19093.0,Microsoft Corporation,2026-06-22T20:05:59Z
BU4-PWCSAP065,10.40.84.172,Windows Server 2016,7.36.19968.0,"VMware, Inc.",2026-06-26T03:30:37Z
BU1-SWCPRT023,10.10.64.241,Windows Server 2022,7.34.19665.0,HPE,2026-06-24T18:59:04Z
BU5-PLCAPI002.BU5.LOCAL,10.50.35.120,RHEL 10.0,7.40.20860.0,Microsoft Corporation,2026-06-24T23:14:22Z
BU1-PWCSQL039.BU1.LOCAL,10.10.162.39,Windows Server 2019,7.32.19675.0,Microsoft Corporation,2026-06-25T01:06:43Z
BU5-SWCDNS011,10.50.219.133,Windows Server 2016,7.32.19887.0,Dell Inc.,2026-06-24T17:10:36Z
BU5-PLCLOG033,10.50.175.241,RHEL 9.6,7.40.19863.0,"VMware, Inc.",2026-06-25T05:03:20Z
BU2-SWCIIS016,10.20.122.53,Windows Server 2019,7.40.19976.0,HPE,2026-06-25T14:53:00Z
BU3-SLCAPI011,10.30.21.223,RHEL 10.0,7.34.20271.0,"VMware, Inc.",2026-06-25T14:11:10Z
BU3-PWCRDP029,10.30.1.248,Windows 11,7.35.19641.0,Dell Inc.,2026-06-25T22:03:06Z
BU2-PWCIDM090,10.20.59.154,Windows 11,7.30.20789.0,"VMware, Inc.",2026-06-25T09:20:35Z
BU1-PWCPRT003,10.10.104.221,Windows Server 2019,7.37.20551.0,"VMware, Inc.",2026-06-25T02:02:49Z
BU3-PLCSMT008,10.30.93.210,RHEL 10.0,7.31.19810.0,Microsoft Corporation,2026-06-18T12:34:19Z
BU3-PWCSAP008,10.30.144.210,Windows Server 2019,7.37.20577.0,Dell Inc.,2026-06-26T03:21:59Z
BU5-DWCFIL003,"10.50.1.134, 10.1.248.55",Windows Server 2022,7.39.19268.0,HPE,2026-06-18T20:04:34Z
BU2-PWCIDM017,10.20.241.16,Windows 11,7.38.20503.0,"VMware, Inc.",2026-06-26T01:35:07Z
BU1-PWCDNS023.BU1.LOCAL,10.10.71.104,Windows Server 2022,7.33.20787.0,"VMware, Inc.",2026-06-25T19:08:58Z
BU3-SWCADC005,"10.30.150.111, 10.7.144.152",Windows Server 2025,7.33.19658.0,"VMware, Inc.",2026-06-25T03:50:26Z
BU4-DLCPRX003,10.40.45.32,RHEL 10.0,7.34.20659.0,"VMware, Inc.",2026-06-25T13:47:01Z
BU3-PWCERP006,"10.30.229.218, 10.18.76.52",Windows Server 2016,7.37.19645.0,HPE,2026-06-25T17:48:10Z
BU5-PLCDKR006,"10.50.109.97, 10.18.98.51",RHEL 8.10,7.31.20187.0,"VMware, Inc.",2026-06-26T03:26:53Z
BU1-PWCFIL001,10.10.124.148,Windows Server 2019,7.34.19210.0,"VMware, Inc.",2026-04-16T17:02:32Z
BU1-PLCORA033,10.10.246.163,RHEL 10.0,7.35.19550.0,Microsoft Corporation,2026-06-26T00:50:08Z
BU4-PWCPRT006,"10.40.86.157, 10.9.86.3",Windows Server 2025,7.30.19056.0,Dell Inc.,2026-06-25T21:30:02Z
BU3-DWCPRT008.BU3.LOCAL,"10.30.29.197, 10.8.22.236",Windows Server 2019,7.34.20843.0,Dell Inc.,2026-06-25T06:47:56Z
BU3-SWCSHP006,10.30.154.203,Windows Server 2025,7.37.19931.0,"VMware, Inc.",2026-06-16T10:15:09Z
BU1-DWCFIL042,"10.10.194.31, 10.4.147.5",Windows Server 2025,7.33.20268.0,"VMware, Inc.",2026-06-24T21:01:17Z
BU1-SLCNGX023.BU1.LOCAL,10.10.73.129,RHEL 8.10,7.30.19487.0,"VMware, Inc.",2026-06-24T16:45:32Z
BU5-SWCSHP017.BU5.LOCAL,"10.50.125.195, 10.8.189.103",Windows Server 2016,7.33.20882.0,Microsoft Corporation,2026-06-25T18:06:13Z
BU4-SWCIDM046,10.40.19.53,Windows Server 2025,7.31.20885.0,"VMware, Inc.",2026-06-25T04:53:57Z
BU1-SLCLOG010.BU1.LOCAL,10.10.41.117,RHEL 10.0,7.36.19540.0,Microsoft Corporation,2026-06-25T18:28:37Z
BU4-PLCDKR032,10.40.50.135,RHEL 9.6,7.31.19038.0,Dell Inc.,2026-06-15T16:34:43Z
BU5-PWCIIS048.BU5.LOCAL,10.50.165.97,Windows Server 2022,7.40.19813.0,Dell Inc.,2026-06-25T15:57:15Z
BU1-PLCELK029,10.10.57.8,RHEL 9.6,7.38.19089.0,"VMware, Inc.",2026-06-25T05:22:31Z
BU3-SWCSQL021,10.30.92.61,Windows Server 2025,7.38.19549.0,"VMware, Inc.",2026-06-25T19:48:07Z
BU2-SWCWEB018,10.20.13.216,Windows Server 2016,7.31.20923.0,Microsoft Corporation,2026-06-25T12:34:02Z
BU2-PWCDNS021,10.20.224.142,Windows Server 2019,7.32.20113.0,"VMware, Inc.",2026-06-25T09:26:45Z
BU4-DLCPGS006,10.40.65.214,RHEL 9.6,7.32.19323.0,"VMware, Inc.",2026-06-24T16:37:06Z
BU5-SLCPGS001,10.50.92.128,RHEL 9.6,7.33.20386.0,"VMware, Inc.",2026-06-24T18:25:40Z
BU2-PLCLOG025,"10.20.176.246, 10.13.135.238",RHEL 9.6,7.36.19677.0,Microsoft Corporation,2026-06-25T11:52:07Z
BU2-PWCSAP059,"10.20.121.244, 10.9.232.111",Windows Server 2016,7.35.20403.0,Microsoft Corporation,2026-06-25T12:16:32Z
BU3-PWCPRT019,10.30.23.153,Windows Server 2022,7.31.19664.0,Microsoft Corporation,2026-06-25T21:04:17Z
BU3-PWCPRT018,"10.30.88.40, 10.2.205.84",Windows Server 2022,7.39.19812.0,"VMware, Inc.",2026-06-25T15:17:54Z
BU2-SLCAPI014,10.20.157.72,RHEL 8.10,7.34.19861.0,"VMware, Inc.",2026-06-15T19:13:51Z
BU2-PLCLOG015,"10.20.208.104, 10.8.168.159",RHEL 9.6,7.34.19394.0,Dell Inc.,2026-06-25T00:42:27Z
BU1-SWCFIL002,10.10.150.85,Windows Server 2016,7.40.19892.0,Dell Inc.,2026-06-25T04:11:41Z
BU1-PWCDNS093.BU1.LOCAL,10.10.92.238,Windows Server 2022,7.34.20523.0,"VMware, Inc.",2026-06-25T04:24:33Z
BU1-PWCEXC003,10.10.241.111,Windows Server 2025,7.30.19151.0,"VMware, Inc.",2026-06-24T23:48:23Z
BU1-PLCPRX013,10.10.109.53,RHEL 8.10,7.32.19403.0,Microsoft Corporation,2026-06-25T15:47:34Z
BU4-DWCSHP034.BU4.LOCAL,10.40.247.124,Windows Server 2025,7.30.19798.0,"VMware, Inc.",2026-06-26T00:55:41Z
BU1-PLCAPI017,"10.10.171.107, 10.8.120.201",RHEL 9.6,7.37.19560.0,"VMware, Inc.",2026-06-25T00:30:54Z
BU3-SLCNGX002,10.30.31.127,RHEL 8.10,7.30.19111.0,"VMware, Inc.",2026-06-25T07:50:31Z
BU2-PWCCRM043,10.20.56.80,Windows Server 2022,7.37.20957.0,Microsoft Corporation,2026-04-12T15:36:27Z
BU1-PWCDNS072,10.10.56.140,Windows Server 2022,7.36.20413.0,"VMware, Inc.",2026-06-25T06:20:56Z
BU2-SWCFIL019,10.20.139.184,Windows Server 2025,7.41.19137.0,Microsoft Corporation,2026-06-25T02:49:27Z
BU5-PWCAPP078,10.50.23.217,Windows Server 2016,7.31.19493.0,Dell Inc.,2026-06-25T12:39:21Z
BU4-SWCIIS068,10.40.118.86,Windows Server 2025,7.34.20438.0,HPE,2026-06-24T20:28:13Z
BU2-PLCWEB036.BU2.LOCAL,10.20.104.65,RHEL 10.0,7.34.20418.0,"VMware, Inc.",2026-06-26T03:34:42Z
BU1-PLCPGS059,"10.10.107.80, 10.13.202.159",RHEL 8.10,7.34.20674.0,Microsoft Corporation,2026-06-25T20:14:04Z
BU5-PWCERP037.BU5.LOCAL,"10.50.103.173, 10.19.41.184",Windows Server 2025,7.36.19506.0,Dell Inc.,2026-06-16T22:17:32Z
BU1-PWCRDP129,"10.10.158.69, 10.9.178.111",Windows 11,7.34.19240.0,Microsoft Corporation,2026-06-25T07:03:15Z
BU3-PWCIDM042,10.30.254.156,Windows Server 2016,7.37.20344.0,"VMware, Inc.",2026-06-25T03:55:38Z
BU5-PWCSQL081,10.50.125.126,Windows Server 2019,7.41.19542.0,"VMware, Inc.",2026-06-25T14:01:48Z
BU1-SWCERP034,10.10.122.243,Windows Server 2016,7.34.19743.0,"VMware, Inc.",2026-06-14T11:47:44Z
BU4-PWCSAP043,"10.40.240.33, 10.7.153.29",Windows Server 2016,7.31.19847.0,HPE,2026-06-22T01:42:11Z
BU5-PWCAPP069,10.50.57.137,Windows Server 2016,7.37.20534.0,"VMware, Inc.",2026-06-25T11:29:43Z
BU2-DLCAPI006,10.20.169.2,RHEL 8.10,7.36.19096.0,"VMware, Inc.",2026-06-25T09:32:48Z
BU4-PWCSQL081,10.40.37.56,Windows Server 2019,7.39.19635.0,Dell Inc.,2026-06-25T08:29:49Z
BU5-SWCSAP003,10.50.1.166,Windows Server 2025,7.39.20959.0,"VMware, Inc.",2026-06-24T17:57:05Z
BU1-PWCEXC145,10.10.212.32,Windows Server 2025,7.39.19147.0,Microsoft Corporation,2026-06-25T22:04:38Z
BU1-PLCNGX002,"10.10.150.246, 10.7.252.250",RHEL 8.10,7.36.19065.0,"VMware, Inc.",2026-06-25T13:43:08Z
BU1-PWCRDP084.BU1.LOCAL,10.10.16.127,Windows 11,7.33.19191.0,"VMware, Inc.",2026-05-02T18:05:58Z
BU1-PLCORA038,10.10.6.136,RHEL 10.0,7.40.19077.0,"VMware, Inc.",2026-06-25T04:59:44Z
BU5-PWCAPP053,"10.50.250.103, 10.19.216.163",Windows Server 2016,7.30.20393.0,"VMware, Inc.",2026-06-25T21:51:21Z
BU1-DWCIIS033.BU1.LOCAL,10.10.13.44,Windows Server 2019,7.33.19970.0,Microsoft Corporation,2026-06-25T15:16:55Z
BU1-PLCELK038.BU1.LOCAL,10.10.3.187,RHEL 9.6,7.34.20418.0,Dell Inc.,2026-06-26T03:20:10Z
BU1-SWCPRT016,10.10.148.90,Windows Server 2022,7.35.19275.0,"VMware, Inc.",2026-06-15T21:04:08Z
BU4-SWCRDP006,10.40.237.105,Windows Server 2025,7.39.20637.0,"VMware, Inc.",2026-06-24T19:19:07Z
BU4-PWCIIS054.BU4.LOCAL,10.40.13.74,Windows Server 2016,7.34.19447.0,"VMware, Inc.",2026-06-25T15:06:20Z
BU1-PLCPGS054,10.10.137.55,RHEL 8.10,7.31.19293.0,Dell Inc.,2026-06-26T00:51:49Z
BU2-PWCSQL035,10.20.228.24,Windows Server 2019,7.41.20777.0,Microsoft Corporation,2026-06-24T22:41:00Z
BU2-PWCRDP071,10.20.173.193,Windows 11,7.38.19440.0,"VMware, Inc.",2026-06-25T12:28:25Z
BU2-PWCIIS007.BU2.LOCAL,10.20.156.127,Windows Server 2019,7.31.20759.0,"VMware, Inc.",2026-06-24T22:56:18Z
BU4-PLCLOG022,10.40.102.232,RHEL 10.0,7.32.19246.0,Microsoft Corporation,2026-06-25T01:51:08Z
BU1-SLCELK034,10.10.189.169,RHEL 9.6,7.41.19005.0,Dell Inc.,2026-06-25T12:21:11Z
BU2-DLCAPI011,10.20.255.228,RHEL 8.10,7.32.19519.0,"VMware, Inc.",2026-06-25T16:55:40Z
BU1-PWCFIL158.BU1.LOCAL,10.10.27.17,Windows Server 2019,7.41.20240.0,Microsoft Corporation,2026-06-25T04:23:33Z
BU3-PWCIDM028,10.30.69.191,Windows Server 2016,7.36.20955.0,Microsoft Corporation,2026-06-25T16:37:36Z
BU2-SWCERP011,10.20.220.184,Windows Server 2025,7.30.20201.0,"VMware, Inc.",2026-06-24T17:26:02Z
BU3-DWCFIL003,10.30.150.15,Windows Server 2022,7.30.19847.0,"VMware, Inc.",2026-06-25T13:43:03Z
BU5-SWCIDM025,10.50.180.19,Windows Server 2016,7.41.19967.0,HPE,2026-06-15T14:43:35Z
BU5-DWCEXC008,10.50.172.87,Windows Server 2019,7.32.20126.0,"VMware, Inc.",2026-06-25T10:07:01Z
BU1-PWCSQL086,"10.10.59.221, 10.19.214.248",Windows Server 2019,7.30.19831.0,"VMware, Inc.",2026-06-25T21:16:21Z
BU1-SWCADC031,10.10.32.120,Windows Server 2022,7.35.20860.0,HPE,2026-06-25T06:25:02Z
BU1-PWCERP094,10.10.34.92,Windows Server 2025,7.32.19068.0,"VMware, Inc.",2026-06-17T22:16:43Z
BU4-PWCEXC081,10.40.212.188,Windows Server 2019,7.41.20044.0,Microsoft Corporation,2026-06-25T17:42:45Z
BU2-SLCWEB013,10.20.10.231,RHEL 8.10,7.38.19381.0,"VMware, Inc.",2026-06-24T23:17:00Z
BU3-SWCWEB012,10.30.254.220,Windows Server 2016,7.30.19500.0,"VMware, Inc.",2026-06-25T22:29:40Z
BU5-PWCIDM084,10.50.27.216,Windows Server 2019,7.32.20778.0,"VMware, Inc.",2026-06-25T20:30:28Z
BU5-PLCFTP024,10.50.66.2,RHEL 10.0,7.32.19878.0,"VMware, Inc.",2026-04-18T13:39:01Z
BU2-PWCAPP047,"10.20.197.170, 10.5.121.119",Windows Server 2022,7.38.19289.0,HPE,2026-06-14T23:58:40Z
BU1-PWCDNS005,10.10.143.169,Windows Server 2022,7.32.20331.0,"VMware, Inc.",2026-06-25T21:54:38Z
BU1-SWCERP010,10.10.141.43,Windows Server 2016,7.39.20203.0,HPE,2026-06-25T21:29:01Z
BU5-PWCADC029,10.50.30.193,Windows Server 2022,7.35.19044.0,"VMware, Inc.",2026-06-25T04:58:14Z
BU4-PWCSAP072,"10.40.108.60, 10.14.25.52",Windows Server 2016,7.39.20659.0,Microsoft Corporation,2026-06-24T22:14:44Z
BU1-SLCWEB014,10.10.117.66,RHEL 9.6,7.41.19028.0,Dell Inc.,2026-06-24T22:37:24Z
BU5-SLCWEB015,10.50.213.17,RHEL 8.10,7.35.19907.0,"VMware, Inc.",2026-06-25T21:16:01Z
BU1-PWCEXC080,10.10.156.79,Windows Server 2025,7.34.19610.0,"VMware, Inc.",2026-06-25T19:48:07Z
BU1-PWCERP041,10.10.241.193,Windows Server 2025,7.38.19035.0,Dell Inc.,2026-06-25T04:13:12Z
BU3-SWCIDM013,10.30.71.198,Windows 11,7.40.20953.0,Dell Inc.,2026-06-25T11:27:14Z
BU3-DWCWEB002,10.30.137.89,Windows Server 2025,7.35.19160.0,Microsoft Corporation,2026-06-16T00:35:37Z
BU4-PWCPRT080.BU4.LOCAL,10.40.91.79,Windows Server 2025,7.39.20669.0,Microsoft Corporation,2026-06-25T10:53:00Z
BU3-PLCSMT019,10.30.72.223,RHEL 10.0,7.33.20964.0,"VMware, Inc.",2026-06-25T03:39:09Z
BU2-PLCAPI025,10.20.64.204,RHEL 8.10,7.33.20350.0,Microsoft Corporation,2026-06-24T18:37:00Z
BU3-SWCFIL014.BU3.LOCAL,10.30.186.210,Windows Server 2025,7.32.20353.0,"VMware, Inc.",2026-06-25T18:11:35Z
BU3-PWCERP023,"10.30.8.216, 10.14.117.253",Windows Server 2016,7.34.20656.0,"VMware, Inc.",2026-06-24T19:29:38Z
BU2-PWCWEB111,10.20.103.116,Windows Server 2016,7.34.19034.0,Dell Inc.,2026-06-25T17:18:22Z
BU1-SWCDNS033,10.10.224.18,Windows Server 2025,7.35.19147.0,Microsoft Corporation,2026-06-25T23:11:08Z
BU4-PWCDNS102,10.40.182.123,Windows Server 2022,7.40.19268.0,Microsoft Corporation,2026-06-25T10:59:24Z
BU4-PLCELK060,10.40.101.219,RHEL 9.6,7.41.20528.0,"VMware, Inc.",2026-06-25T03:09:04Z
BU5-DLCAPP003,10.50.0.34,RHEL 9.6,7.30.20469.0,Microsoft Corporation,2026-06-25T04:38:35Z
BU1-SWCDNS015,10.10.205.46,Windows Server 2025,7.32.19821.0,"VMware, Inc.",2026-06-15T18:08:12Z
BU1-PLCFTP042,10.10.110.200,RHEL 10.0,7.40.20935.0,Microsoft Corporation,2026-06-14T15:32:44Z
BU3-PLCAPI016,10.30.100.3,RHEL 9.6,7.39.20669.0,Microsoft Corporation,2026-06-25T17:22:32Z
BU1-PWCWEB097,10.10.160.117,Windows Server 2022,7.35.20865.0,"VMware, Inc.",2026-06-24T17:37:24Z
BU3-PLCSMT007,"10.30.219.18, 10.8.191.61",RHEL 10.0,7.33.20151.0,"VMware, Inc.",2026-06-25T23:45:08Z
BU1-SWCERP033,10.10.186.5,Windows Server 2016,7.40.19411.0,Dell Inc.,2026-06-24T22:02:24Z
BU5-DWCEXC001.BU5.LOCAL,10.50.180.67,Windows Server 2019,7.34.20398.0,"VMware, Inc.",2026-06-25T13:37:27Z
BU3-PLCORA021,10.30.59.91,RHEL 10.0,7.36.19232.0,Microsoft Corporation,2026-06-25T15:43:59Z
BU1-PWCPRT112,10.10.37.102,Windows Server 2019,7.34.19751.0,"VMware, Inc.",2026-06-25T03:31:09Z
BU2-PWCRDP090.BU2.LOCAL,10.20.191.101,Windows 11,7.38.20017.0,"VMware, Inc.",2026-06-25T01:36:07Z
BU3-PLCWEB005.BU3.LOCAL,10.30.10.69,RHEL 8.10,7.30.19096.0,Microsoft Corporation,2026-06-25T03:31:51Z
BU4-PWCSQL039.BU4.LOCAL,10.40.241.38,Windows Server 2019,7.33.19814.0,"VMware, Inc.",2026-06-24T21:03:36Z
BU5-PWCWEB001,10.50.159.82,Windows Server 2019,7.35.19525.0,Microsoft Corporation,2026-06-25T12:08:25Z
